record - object_number,record - Title - title,record - Production - creator - name,record - Production - creator - birth.date.start,record - Production - creator - death.date.start,record - Dimension - dimension.unit - term,record - Dimension - dimension.type - term,record - Dimension - dimension.value,record - Material - material - term,record - institution.name - name,record - Object_name - object_name - term,record - Production - creator.date_of_birth,record - production.period - linkreffield,record - production.period - term,record - Production_date - production.date.start,record - Production_date - production.date.end,IRL,Rights
,Window,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Fenêtre,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Venster,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.471.A,Fenster,Isa Genzken,1948,,cm,hoogte,282,epoxyhars,Middelheimmuseum (Antwerpen),sculpture,1948,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_471_A,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,51,steel (alloy),,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,89,staal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Window,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Fenêtre,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Venster,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.311,Forma concava convessa,Luigi Gheno,1930,,cm,hoogte,159,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1930,production.period.lref,20ste eeuw (derde kwart),1973,1973,http://middelheimmuseum.be/collection/work/id/MID_B_311,https://creativecommons.org/publicdomain/zero/1.0/
,Konkave konvexe Form,,,,cm,breedte,57,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Concavo-convex form,,,,cm,diepte,56,wood,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Forme concave convexe,,,,,,,hout,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Concave convexe vorm,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.108,Grande Bagnante N°1,Emilio Greco,1913-10-11,1995-04-05,cm,hoogte,215,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1913-10-11,production.period.lref,20ste eeuw (derde kwart),1956,1956,http://middelheimmuseum.be/collection/work/id/MID_B_108,https://creativecommons.org/publicdomain/zero/1.0/
,Badende,,,,cm,breedte,70,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Bathing woman,,,,cm,diepte,45,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Baigneuse,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
